kcet,college
56.7991715,"Keystone School of Engineering, Pune"
77.376,"K.D.K. College of Engineering, Nagpur"
78.708,"Ankush Shikshan Sanstha's G. H. Raisoni Institute of Engineering & Technology, Nagpur"
50.6836468,"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar"
80.488,"Bajaj Institute of Technology, Wardha"
33.6457058,"Anantrao Pawar College of Engineering & Research, Pune"
24.3197932,"Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering, Nagpur"
19.1370408,"Vishvatmak Jangli Maharaj Ashram Trust's Vishvatmak Om Gurudev College of Engineering, Mohili-Aghai, Shahpur."
44.38164,"Kai Amdar Bramhadevdada Mane Shikshan & Samajik Prathistan's Bramhadevdada Mane Institute of Technology, Solapur"
73.6245591,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded."
56.5909,"Vidya Niketan College of Engineering, Bota Sangamner"
13.227,"Hindi Seva Mandal's Shri Sant Gadgebaba College of Engineering & Technology, Bhusawal"
59.4294736,"Lokmanya Tilak Jankalyan Shikshan Sanstha, Priyadarshani College of Engineering, Nagpur"
70.9167675,"Jaihind College Of Engineering,Kuran"
73.8827372,"Shri Vithal Education and Research Institute's College of Engineering, Pandharpur"
57.1681525,"Janata Shikshan Prasarak Mandal�s Babasaheb Naik College Of Engineering, Pusad"
34.59766,"Godavari Foundation's Godavari College Of Engineering, Jalgaon"
33.0757,"Kalyani Charitable Trust, Late Gambhirrao Natuba Sapkal College of Engineering, Anjaneri, Trimbakeshwar Road, Nashik"
68.0148,"Vidarbha Bahu-Uddeshiya Shikshan Sanstha's Tulshiramji Gaikwad Patil College of Engineering & Technology, Nagpur"
45.52117,"Adsul's Technical Campus, Chas Dist. Ahmednagar"
20.3106103,"Yashoda Technical Campus, Wadhe, Satara."
76.018,"Priyadarshini Bhagwati College of Engineering, Harpur Nagar, Umred Road,Nagpur"
9.3747,"Gondia Education Society's Manoharbhai Patel Institute Of Engineering & Technology, Shahapur, Bhandara"
51.5411021,"Bapurao Deshmukh College of Engineering, Sevagram"
70.8385536,"Dr. Ashok Gujar Technical Institute's Dr. Daulatrao Aher College of Engineering, Karad"
82.8240985,"P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus), Amravati"
40.6816914,"Hi-Tech Institute of Technology, Aurangabad"
27.9317512,"Sahyadri Valley College of Engineering & Technology, Rajuri, Pune."
48.1373522,"Shri Pandurang Pratishtan, Karmayogi Engineering College, Shelve, Pandharpur"
17.4873084,"K.J.'s Educational Institute's K.J.College of Engineering & Management Research, Pisoli"
22.2210555,"Vidya Vikas Pratishthan Institute of Engineering and Technology, Solapur"
78.6628332,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali"
93.6578,"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai"
72.605,"Lokmanya Tilak Jankalyan Shikshan Sanstha's , Priyadarshini Institute of Engineering and Technology, Nagpur"
53.5409862,"Shanti Education Society, A.G. Patil Institute of Technology, Soregaon, Solapur(North)"
62.35597,"Brahma Valley College of Engineering & Research, Trimbakeshwar, Nashik"
41.8367938,"Loknete Hanumantrao Charitable Trust's Adarsh Institute of Technology and Research Centre, Vita,Sangli"
82.1256056,"WATUMULL INSTITUTE OF ELECTRONICS ENGINEERING & COMPUTER TECHNOLOGY, ULHASNAGAR"
66.9365,"Sanghavi College of Engineering, Varvandi, Nashik."
25.1910083,"Ideal Institute of Technology, Wada, Dist.Thane"
77.3208,"SNJB's Late Sau. Kantabai Bhavarlalji Jain College of Engineering, (Jain Gurukul), Neminagar,Chandwad,(Nashik)"
68.3744559,"Konkan Gyanpeeth College of Engineering, Karjat"
20.6260003,"Shriram Gram Vikas Shikshan Sanstha, Vilasrao Deshmukh College of Engineering and Technology, Nagpur"
42.4418647,"Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai"
87.4343692,"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai"
79.6256599,"Mauli Group of Institutions, College of Engineering and Technology, Shegaon."
63.2941781,"Shree Ramchandra College of Engineering, Lonikand,Pune"
70.1005917,"P. R. Pote Patil Institute of Engineering & Research, At Kathora, Amravati"
81.2764786,"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai"
47.057,"Sanmarg Shikshan Sanstha, Mandukarrao Pandav College of Engineering, Bhandara"
70.577,"Rajiv Gandhi College of Engineering & Research, Hingna Road, Nagpur"
